Progeny Sire    Dam     Sex  G   NMPrg NFPrg F        Homo     Phen      Res       Polygene  QTL       Final_EBV
156     0       0       F   0    0     4     0.000000 0.690133 +0.908512 +0.896580 +0.000000 +0.011932 +0.059508
157     0       0       F   0    1     2     0.000000 0.708756 -0.598368 -0.054422 +0.000000 -0.543945 -0.024216
158     0       0       F   0    2     1     0.000000 0.703378 -0.060981 +0.005281 +0.000000 -0.066261 -0.064909
159     0       0       F   0    3     6     0.000000 0.728844 +2.616085 +2.117504 +0.000000 +0.498581 +0.306010
160     0       0       F   0    3     1     0.000000 0.704756 -0.134678 +0.130764 -0.000000 -0.265442 +0.042495
161     0       0       F   0    4     2     0.000000 0.687511 +2.143721 +2.404489 -0.000000 -0.260768 +0.136195
162     0       0       F   0    0     1     0.000000 0.699867 -1.937726 -2.310081 -0.000000 +0.372355 -0.166815
163     0       0       F   0    2     1     0.000000 0.685844 -0.273638 -0.494646 -0.000000 +0.221008 -0.002211
164     0       0       F   0    2     3     0.000000 0.708511 +0.750123 +0.531184 -0.000000 +0.218938 +0.033149
165     0       0       F   0    7     2     0.000000 0.688533 +1.633182 +1.336852 -0.000000 +0.296330 +0.289043
166     0       0       F   0    1     1     0.000000 0.699444 -0.945529 -0.746173 -0.000000 -0.199355 -0.083021
167     0       0       F   0    1     3     0.000000 0.713756 -0.592800 -0.199021 +0.000000 -0.393779 +0.039386
168     0       0       F   0    2     2     0.000000 0.701222 +1.076204 +0.616608 +0.000000 +0.459596 +0.007962
169     0       0       F   0    1     3     0.000000 0.694800 +0.551371 +0.459244 -0.000000 +0.092127 +0.136337
170     0       0       F   0    2     1     0.000000 0.712956 +0.100025 -0.005906 +0.000000 +0.105931 +0.004279
171     0       0       F   0    2     0     0.000000 0.696733 -0.757209 -0.761818 +0.000000 +0.004609 -0.065351
172     0       0       F   0    4     0     0.000000 0.709778 +0.552063 +0.512799 +0.000000 +0.039263 +0.047646
173     0       0       F   0    1     1     0.000000 0.706467 -0.111503 +0.259514 +0.000000 -0.371017 -0.054777
174     0       0       F   0    2     2     0.000000 0.715133 +1.006770 +0.953071 +0.000000 +0.053699 -0.004724
175     0       0       F   0    1     0     0.000000 0.687622 -1.527712 -1.372975 +0.000000 -0.154738 -0.131849
176     0       0       F   0    1     0     0.000000 0.707600 -1.581634 -1.363963 -0.000000 -0.217671 -0.136503
177     0       0       F   0    0     1     0.000000 0.714378 -0.608520 -0.575154 -0.000000 -0.033367 -0.097553
178     0       0       F   0    2     2     0.000000 0.704911 +1.257521 +1.518444 +0.000000 -0.260923 +0.053822
179     0       0       F   0    2     4     0.000000 0.685133 +1.008838 +0.862463 -0.000000 +0.146375 +0.124919
180     0       0       F   0    0     1     0.000000 0.694667 -1.187646 -0.981434 +0.000000 -0.206212 -0.118898
181     0       0       F   0    3     1     0.000000 0.692622 +0.704560 +0.213092 +0.000000 +0.491468 +0.049919
182     0       0       F   0    1     2     0.000000 0.700044 +0.329372 +0.443226 -0.000000 -0.113855 -0.010955
183     0       0       F   0    1     1     0.000000 0.703511 -0.869213 -0.688338 +0.000000 -0.180875 -0.113845
